Algorithm,Accuracy,Recall,Precision,F1 Score,Training Time (s),Prediction Time (s)
KNN,0.9751552795031055,0.9685534591194969,0.9808917197452229,0.9746835443037974,0.0019998550415039062,0.00900125503540039
LR,0.8416149068322981,0.7044025157232704,0.9655172413793104,0.8145454545454546,0.017999887466430664,0.0
SVC,0.8850931677018633,0.7924528301886793,0.9692307692307692,0.8719723183391004,0.001998424530029297,0.0
RF,1.0,1.0,1.0,1.0,0.10499954223632812,0.007002353668212891
DT,1.0,1.0,1.0,1.0,0.0010013580322265625,0.0
XGB,1.0,1.0,1.0,1.0,0.055999040603637695,0.0010004043579101562
NB,0.7950310559006211,1.0,0.7066666666666667,0.828125,0.0010044574737548828,0.0
Ensemble,0.9906832298136646,1.0,0.9814814814814815,0.9906542056074767,0.1550002098083496,0.02499985694885254
