Algorithm,Accuracy,Recall,Precision,F1 Score,Training Time (s),Prediction Time (s)
KNN,0.9751552795031055,0.9685534591194969,0.9808917197452229,0.9746835443037974,0.0019974708557128906,0.010000944137573242
LR,0.8416149068322981,0.7044025157232704,0.9655172413793104,0.8145454545454546,0.018001317977905273,0.0
SVC,0.8850931677018633,0.7924528301886793,0.9692307692307692,0.8719723183391004,0.0030024051666259766,0.0
RF,1.0,1.0,1.0,1.0,0.10300660133361816,0.006999969482421875
DT,1.0,1.0,1.0,1.0,0.0010101795196533203,0.0
XGB,1.0,1.0,1.0,1.0,0.04499650001525879,0.0010004043579101562
NB,0.7950310559006211,1.0,0.7066666666666667,0.828125,0.0009968280792236328,0.0
Ensemble,0.9906832298136646,1.0,0.9814814814814815,0.9906542056074767,0.15700817108154297,0.0260007381439209
