Algorithm,Accuracy,Recall,Precision,F1 Score,Training Time (s),Prediction Time (s)
KNN,0.9999716629592371,0.9999434277147625,1.0,0.9999717130572527,0.8810105323791504,4.253988742828369
LR,0.9999574944388557,0.9999434277147625,0.9999717130572527,0.9999575701859841,0.8209989070892334,0.0019989013671875
SVC,0.9999716629592371,0.9999434277147625,1.0,0.9999717130572527,2.2140085697174072,0.0020003318786621094
RF,1.0,1.0,1.0,1.0,6.457998037338257,0.2609996795654297
DT,1.0,1.0,1.0,1.0,0.12299442291259766,0.003999948501586914
XGB,1.0,1.0,1.0,1.0,0.9059984683990479,0.007001161575317383
NB,0.9967270717918928,0.9934659010550732,1.0,0.9967222419297623,0.05399656295776367,0.009000778198242188
Ensemble,0.9999716629592371,0.9999434277147625,1.0,0.9999717130572527,11.460999727249146,4.925999164581299
