Algorithm,Accuracy,Recall,Precision,F1 Score,Training Time (s),Prediction Time (s)
KNN,0.9579158316633266,0.9647749510763209,0.9535783365570599,0.9591439688715953,0.008998870849609375,0.029999971389770508
LR,0.8667334669338678,0.7827788649706457,0.9478672985781991,0.8574490889603429,0.02100062370300293,0.0
SVC,0.8677354709418837,0.7847358121330724,0.9479905437352246,0.8586723768736617,0.009995698928833008,0.0
RF,1.0,1.0,1.0,1.0,0.14499902725219727,0.008999824523925781
DT,1.0,1.0,1.0,1.0,0.0019989013671875,0.0
XGB,1.0,1.0,1.0,1.0,0.0619966983795166,0.0009996891021728516
NB,0.8136272545090181,0.9980430528375733,0.7338129496402878,0.8457711442786069,0.0010027885437011719,0.0
Ensemble,0.9849699398797596,0.9980430528375733,0.9732824427480916,0.9855072463768116,0.22699737548828125,0.06300020217895508
