Algorithm,Accuracy,Recall,Precision,F1 Score,Training Time (s),Prediction Time (s)
KNN,0.9995887332985596,0.9994035652057365,0.9997720644923407,0.999587780887109,6.067996978759766,61.72300052642822
LR,0.9168371918843371,0.8607291247822008,0.969138597126645,0.9117225321918878,11.09699821472168,0.008000373840332031
SVC,0.9169609062579411,0.8607291247822008,0.9694092428919701,0.9118422780793082,19.12799644470215,0.007998943328857422
RF,1.0,1.0,1.0,1.0,36.87936043739319,1.277998924255371
DT,1.0,1.0,1.0,1.0,0.5119998455047607,0.016002178192138672
XGB,1.0,1.0,1.0,1.0,5.075995922088623,0.020000219345092773
NB,0.6900854632267384,0.9999932984854577,0.6168470397592454,0.7630226576601913,0.2690005302429199,0.06499862670898438
Ensemble,0.999989969104843,0.9999932984854577,0.9999865970607354,0.9999899477618692,78.05157327651978,63.90136218070984
