Algorithm,Accuracy,Recall,Precision,F1 Score,Training Time (s),Prediction Time (s)
KNN,0.9618320610687023,0.9670050761421319,0.957286432160804,0.962121212121212,0.005997419357299805,0.025002241134643555
LR,0.8689567430025446,0.766497461928934,0.9648562300319489,0.8543140028288544,0.019999980926513672,0.0
SVC,0.8689567430025446,0.766497461928934,0.9648562300319489,0.8543140028288544,0.006999492645263672,0.0
RF,1.0,1.0,1.0,1.0,0.13399934768676758,0.008000612258911133
DT,1.0,1.0,1.0,1.0,0.0020029544830322266,0.0
XGB,1.0,1.0,1.0,1.0,0.06899881362915039,0.0009989738464355469
NB,0.7659033078880407,0.9949238578680203,0.6829268292682927,0.8099173553719008,0.0009968280792236328,0.0
Ensemble,0.9872773536895675,0.9949238578680203,0.98,0.9874055415617129,0.20299768447875977,0.05500173568725586
