Algorithm,Accuracy,Recall,Precision,F1 Score,Training Time (s),Prediction Time (s)
KNN,0.9993496807338853,0.9990734419194383,0.9996259189382604,0.9993496040714785,4.7036073207855225,55.97732758522034
LR,0.9408453337560408,0.9078562371988687,0.9720056389014584,0.9388364039806348,5.942998170852661,0.004997968673706055
SVC,0.9410526230221149,0.9082382392145388,0.9720509051052985,0.9390617449946427,13.541997909545898,0.004999637603759766
RF,1.0,1.0,1.0,1.0,23.52875590324402,0.9939985275268555
DT,1.0,1.0,1.0,1.0,0.3789958953857422,0.01300048828125
XGB,1.0,1.0,1.0,1.0,4.0749993324279785,0.016999244689941406
NB,0.7796393166770311,0.9999756168926168,0.6941369621881452,0.8194497172657702,0.21722197532653809,0.04999804496765137
Ensemble,1.0,1.0,1.0,1.0,54.15516448020935,60.28426480293274
